----------
6  35e6  48e5  4.00037894352057e+00  2.70494729949272e+33  1.78114003777768e+42  3.29476069577393e+38  0.00000000000000e+00  1.15137967562319e+51  1.08915965105356e+51  6.22200245696267e+49  -1.03945577753268e+50  -2.22755860946036e+52  4.04820634509036e+48  2.65239850345398e+33  2.39808906152211e+33  1.94658118814753e+33  9.87692269151610e+32  1.73150575556119e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  7.49575122609620e+04  1.99787405687107e+03  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
2  35e6  48e5  0.00000000000000e+00  2.70538319132923e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06912771727683e+51  0.00000000000000e+00  2.06912771727683e+51  -2.53787187339175e+51  -2.07505546120384e+52  0.00000000000000e+00  2.49562976011718e+31  2.49562976011718e+31  2.49562976011718e+31  2.49562976011718e+31  2.31909894874177e+31  1.87091455496763e+32  1.37146323112922e+33  2.09138094124249e+33  2.48891493323952e+33  2.55915665535776e+33  2.59656585203995e+33  2.63436314854900e+33  2.65747213503257e+33  2.68754495074761e+33  2.70084763144918e+33  1.39867344996650e+09  9.21282873785582e+08  
2  35e6  48e5  4.00039596412556e+00  2.70448972371006e+33  1.82563664388819e+42  4.92395065210561e+37  0.00000000000000e+00  1.21160155336154e+51  1.15800556764392e+51  5.35959857176286e+49  -1.00891825007599e+50  -2.23354353544360e+52  4.22731226790718e+48  2.66752150986149e+33  2.47259455793440e+33  2.14610387096087e+33  6.89291688930013e+32  1.91500981851954e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  9.39024616362570e+04  3.19343231121913e+03  
----------
mpoles  ign_rad  ign_amp  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  
6  35e6  12e5  0.00000000000000e+00  2.70889617493384e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.06932818927105e+51  0.00000000000000e+00  2.06932818927105e+51  -2.54672751013122e+51  -2.07716828912334e+52  0.00000000000000e+00  7.99680455020069e+30  7.99680455020069e+30  7.99680455020069e+30  7.99680455020069e+30  7.42943557407618e+30  1.94307178620223e+32  1.37443225889639e+33  2.09489392484710e+33  2.49242791684413e+33  2.56266963896236e+33  2.60007883564456e+33  2.63787613215360e+33  2.66098511863717e+33  2.69105793435221e+33  2.70436061505378e+33  1.39867344996650e+09  9.48188906903015e+08  
6  35e6  12e5  4.00012310427341e+00  2.70878378527407e+33  1.69329412191890e+42  6.46532622360679e+38  0.00000000000000e+00  1.06016636505334e+51  9.92912644043674e+50  6.72537210096636e+49  -1.12389308464793e+50  -2.22097114964856e+52  4.77665216881497e+48  2.53565858942110e+33  2.21375469825603e+33  1.83879489104517e+33  1.12245663727983e+33  1.61903003828914e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  1.35755344631647e+05  1.00546808540637e+03  
----------
