----------
16  4.00028071783272e+00  2.69742980229242e+33  1.90572519418120e+42  -6.78691383528154e+38  0.00000000000000e+00  1.40316514456590e+51  1.31507147848073e+51  8.80936660851722e+49  -1.01406169992677e+50  -2.22442877900815e+52  8.38474316352312e+48  2.66962127409511e+33  2.45475195623997e+33  2.04425404871580e+33  7.69412060115318e+32  1.74958044676971e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  9.66716428365945e+04  6.17110189065349e+03  1.30175897457323e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
17  0.00000000000000e+00  2.69869773440543e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07699905484547e+51  0.00000000000000e+00  2.07699905484547e+51  -2.54615517350128e+51  -2.04608780328825e+52  0.00000000000000e+00  1.65443777775735e+31  1.65443777775735e+31  1.65443777775735e+31  1.65443777775735e+31  1.52826039995401e+31  2.21543009148490e+32  1.38744790185520e+33  2.09945180369590e+33  2.48746178740041e+33  2.55598308473578e+33  2.59201464706550e+33  2.63011617674589e+33  2.65288082299013e+33  2.68231945042603e+33  2.69496265580033e+33  1.36498262689479e+09  1.25247161215647e+09  -4.69156118655809e+50  
17  4.00070013031889e+00  2.69718836591015e+33  1.95294616579441e+42  -5.40721687772641e+38  0.00000000000000e+00  1.44134059002054e+51  1.36248190134115e+51  7.88586886793929e+49  -9.81617171911561e+49  -2.22816912990840e+52  7.98840004979557e+48  2.67799092601539e+33  2.50899446533898e+33  2.15913387817501e+33  6.96673548924119e+32  1.86461855089453e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  7.17354282155199e+04  4.32223898305733e+03  1.34317887282938e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
19  0.00000000000000e+00  2.69870537521002e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07700004495113e+51  0.00000000000000e+00  2.07700004495113e+51  -2.54617545855204e+51  -2.04609227798485e+52  0.00000000000000e+00  1.65090743454770e+31  1.65090743454770e+31  1.65090743454770e+31  1.65090743454770e+31  1.52499930195560e+31  2.21550649953075e+32  1.38745554265979e+33  2.09945944450048e+33  2.48746942820500e+33  2.55599072554037e+33  2.59202228787009e+33  2.63012381755047e+33  2.65288846379471e+33  2.68232709123061e+33  2.69497029660491e+33  1.33878541618868e+09  1.26232988617001e+09  -4.69175413600911e+50  
19  4.00005310582824e+00  2.69753370533558e+33  1.99383711019780e+42  1.67991467834713e+36  0.00000000000000e+00  1.43372870219084e+51  1.34585198290662e+51  8.78767192842145e+49  -1.00360274932522e+50  -2.22750964792082e+52  8.25390425961448e+48  2.68444045380940e+33  2.48505739381159e+33  2.13026355169867e+33  6.88067711577182e+32  1.83265598124732e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  7.37172900078138e+04  1.17558731924374e+04  1.33336842725832e+51  
----------
